Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5503.25,5497.25,5499.25,5542,12125,0
2024-06-17,03:00:00,5499.5,5503.0,5498.0,5502.0,3066,7123,0
2024-06-17,06:00:00,5502.25,5509.25,5496.0,5498.75,18077,49099,0
2024-06-17,09:00:00,5498.25,5502.5,5493.0,5501.0,12169,33205,0
2024-06-17,12:00:00,5501.0,5504.5,5489.75,5503.75,66000,211268,0
2024-06-17,15:00:00,5504.0,5551.5,5503.75,5550.5,72459,198354,0
2024-06-17,18:00:00,5550.5,5561.25,5542.75,5547.25,64839,171625,0
2024-06-17,21:00:00,5547.25,5554.0,5545.5,5552.0,5127,9246,25
2024-06-18,00:00:00,5552.0,5552.5,5541.75,5546.25,7657,15020,0
2024-06-18,03:00:00,5546.0,5548.5,5543.5,5548.0,4100,7491,0
2024-06-18,06:00:00,5548.0,5549.75,5541.5,5545.75,10857,28672,0
2024-06-18,09:00:00,5545.75,5551.25,5544.25,5545.75,10496,25716,0
2024-06-18,12:00:00,5545.75,5558.5,5542.25,5547.5,85355,254818,0
2024-06-18,15:00:00,5547.5,5562.25,5543.5,5557.0,66404,218273,0
2024-06-18,18:00:00,5557.25,5562.75,5546.5,5562.25,59310,195301,0
2024-06-18,21:00:00,5561.0,5567.0,5560.0,5564.5,3802,5577,0
2024-06-19,00:00:00,5564.5,5564.75,5560.25,5561.5,3673,6675,0
2024-06-19,03:00:00,5561.75,5563.75,5559.75,5563.0,2521,4551,0
2024-06-19,06:00:00,5563.0,5565.5,5560.75,5562.75,7237,15557,0
2024-06-19,09:00:00,5562.5,5566.5,5562.25,5564.5,5475,12219,25
2024-06-19,12:00:00,5564.75,5566.5,5560.0,5563.0,10013,22744,0
2024-06-19,15:00:00,5563.0,5563.75,5561.25,5561.75,2772,6942,0
2024-06-19,21:00:00,5561.5,5564.0,5560.75,5563.0,2960,5030,25
2024-06-20,00:00:00,5563.0,5568.75,5562.75,5566.0,5188,9352,0
2024-06-20,03:00:00,5566.25,5578.75,5565.75,5577.5,8128,15286,0
2024-06-20,06:00:00,5577.5,5587.75,5575.0,5581.75,13930,29160,0
2024-06-20,09:00:00,5582.0,5584.5,5577.5,5579.25,11597,25676,0
2024-06-20,12:00:00,5579.0,5581.25,5559.0,5567.25,103745,239229,0
2024-06-20,15:00:00,5567.5,5570.75,5525.5,5544.25,150718,377738,0
2024-06-20,18:00:00,5544.25,5556.0,5531.5,5544.25,113990,313882,0
2024-06-20,21:00:00,5544.0,5548.0,5543.0,5546.75,3898,6305,0
2024-06-21,00:00:00,5546.75,5547.75,5540.5,5546.0,6183,10081,0
