Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5502.25,5501.5,5501.75,171,395,25
2024-06-17,00:01:00,5502.0,5502.5,5502.0,5502.0,33,67,25
2024-06-17,00:02:00,5502.25,5502.5,5501.75,5502.25,51,115,25
2024-06-17,00:03:00,5502.5,5502.5,5502.0,5502.5,25,49,25
2024-06-17,00:04:00,5502.5,5502.5,5502.0,5502.0,44,101,25
2024-06-17,00:05:00,5502.0,5502.0,5501.5,5501.5,71,156,25
2024-06-17,00:06:00,5501.5,5502.0,5501.5,5501.75,90,241,25
2024-06-17,00:07:00,5501.75,5501.75,5501.0,5501.0,36,101,25
2024-06-17,00:08:00,5501.25,5501.5,5501.25,5501.5,25,53,25
2024-06-17,00:09:00,5501.5,5501.5,5500.75,5501.0,67,152,25
2024-06-17,00:10:00,5500.75,5500.75,5500.25,5500.75,90,180,0
2024-06-17,00:11:00,5500.75,5500.75,5500.5,5500.75,35,75,25
2024-06-17,00:12:00,5500.5,5500.75,5500.25,5500.5,38,67,25
2024-06-17,00:13:00,5500.5,5500.75,5500.5,5500.5,20,34,25
2024-06-17,00:14:00,5501.0,5501.0,5501.0,5501.0,14,22,25
2024-06-17,00:15:00,5501.25,5501.75,5501.25,5501.75,68,127,25
2024-06-17,00:16:00,5501.75,5502.25,5501.5,5501.5,60,108,25
2024-06-17,00:17:00,5501.75,5501.75,5501.25,5501.25,42,93,25
2024-06-17,00:18:00,5501.25,5501.75,5501.25,5501.75,23,38,25
2024-06-17,00:19:00,5501.5,5501.5,5501.0,5501.5,25,46,25
2024-06-17,00:20:00,5501.5,5501.75,5501.5,5501.75,10,17,25
2024-06-17,00:21:00,5501.75,5502.0,5501.75,5501.75,14,21,25
2024-06-17,00:22:00,5502.0,5502.25,5501.75,5502.25,25,49,25
2024-06-17,00:23:00,5502.0,5502.0,5502.0,5502.0,17,33,25
2024-06-17,00:24:00,5502.25,5502.25,5501.25,5501.25,34,61,25
2024-06-17,00:25:00,5501.25,5501.75,5501.25,5501.75,41,87,25
2024-06-17,00:26:00,5502.0,5502.0,5501.75,5502.0,30,56,25
