Date,Time,Open,High,Low,Close,Volume ,Filename
2017.04.18,00:00,1183.46,1207.19,1171.9,1194.71,23227,TXT\BTCUSD_D1.csv
2017.04.19,00:00,1195.32,1207.47,1187.55,1199.68,21124,TXT\BTCUSD_D1.csv
2017.04.20,00:00,1199.77,1240.33,1187.92,1235.11,17217,TXT\BTCUSD_D1.csv
2017.04.21,00:00,1235.25,1249.3,1225.67,1238.84,22136,TXT\BTCUSD_D1.csv
2017.04.22,00:00,1232.0,1239.99,1200.0,1223.99,25613,TXT\BTCUSD_D1.csv
2017.04.23,00:00,1223.99,1240.99,1212.54,1238.56,23766,TXT\BTCUSD_D1.csv
2017.04.24,00:00,1236.97,1250.82,1231.46,1248.86,16511,TXT\BTCUSD_D1.csv
2017.04.25,00:00,1248.58,1276.98,1248.17,1271.43,18876,TXT\BTCUSD_D1.csv
2017.04.26,00:00,1271.49,1312.38,1266.06,1286.5,27683,TXT\BTCUSD_D1.csv
2017.04.27,00:00,1285.15,1338.91,1281.54,1338.03,16935,TXT\BTCUSD_D1.csv
2017.04.28,00:00,1338.05,1344.51,1295.85,1302.42,21609,TXT\BTCUSD_D1.csv
2017.04.29,00:00,1283.19,1303.11,1276.99,1295.69,22674,TXT\BTCUSD_D1.csv
2017.04.30,00:00,1295.69,1297.99,1284.73,1291.19,24046,TXT\BTCUSD_D1.csv
2017.05.01,00:00,1339.73,1421.99,1338.37,1414.09,11950,TXT\BTCUSD_D1.csv
2017.05.02,00:00,1414.1,1477.0,1385.24,1426.46,19747,TXT\BTCUSD_D1.csv
2017.05.03,00:00,1426.85,1507.27,1425.55,1507.27,21067,TXT\BTCUSD_D1.csv
2017.05.04,00:00,1507.8,1620.01,1478.0,1478.98,18900,TXT\BTCUSD_D1.csv
2017.05.05,00:00,1468.57,1606.33,1441.95,1511.34,22598,TXT\BTCUSD_D1.csv
2017.05.06,00:00,1430.45,1481.99,1420.0,1466.83,24367,TXT\BTCUSD_D1.csv
2017.05.07,00:00,1466.83,1486.44,1463.99,1477.99,22248,TXT\BTCUSD_D1.csv
2017.05.08,00:00,1524.92,1626.49,1522.27,1621.66,20358,TXT\BTCUSD_D1.csv
2017.05.09,00:00,1621.74,1757.39,1611.99,1698.3,21376,TXT\BTCUSD_D1.csv
2017.05.10,00:00,1698.99,1790.99,1665.46,1760.57,18896,TXT\BTCUSD_D1.csv
2017.05.11,00:00,1759.58,1889.64,1742.03,1803.05,23877,TXT\BTCUSD_D1.csv
2017.05.12,00:00,1803.08,1832.96,1647.01,1688.95,33414,TXT\BTCUSD_D1.csv
2017.05.13,00:00,1634.99,1704.47,1583.11,1695.66,21151,TXT\BTCUSD_D1.csv
2017.05.14,00:00,1695.46,1753.69,1681.04,1708.26,21423,TXT\BTCUSD_D1.csv
2017.05.15,00:00,1778.28,1782.02,1680.08,1696.42,15371,TXT\BTCUSD_D1.csv
2017.05.16,00:00,1696.41,1746.78,1638.61,1723.28,19303,TXT\BTCUSD_D1.csv
2017.05.17,00:00,1723.04,1834.5,1667.97,1780.88,17099,TXT\BTCUSD_D1.csv
2017.05.18,00:00,1780.83,1874.55,1760.26,1865.8,15016,TXT\BTCUSD_D1.csv
2017.05.19,00:00,1865.83,1949.97,1863.89,1932.09,15915,TXT\BTCUSD_D1.csv
2017.05.20,00:00,1889.99,1993.99,1883.86,1992.09,25789,TXT\BTCUSD_D1.csv
2017.05.21,00:00,1992.09,2074.8,1960.0,1992.99,21258,TXT\BTCUSD_D1.csv
2017.05.22,00:00,2004.53,2224.92,2004.38,2122.06,13555,TXT\BTCUSD_D1.csv
2017.05.23,00:00,2121.71,2261.76,1997.3,2218.43,17687,TXT\BTCUSD_D1.csv
2017.05.24,00:00,2216.99,2475.96,2214.53,2446.77,17444,TXT\BTCUSD_D1.csv
2017.05.25,00:00,2447.28,2754.73,2263.26,2408.26,23310,TXT\BTCUSD_D1.csv
2017.05.26,00:00,2408.55,2593.96,2056.56,2278.52,28252,TXT\BTCUSD_D1.csv
