Date,Open,High,Low,Close,Volume
04/01/2023 00:00:00,262.39,263.14,256.02,260.53,792700
05/01/2023 00:00:00,258.76,262.12,255.495,258.58,615900
06/01/2023 00:00:00,262.4,268.831,259.77,267.52,550700
09/01/2023 00:00:00,270.85,274.62,269.26,269.34,692400
10/01/2023 00:00:00,267.78,272.42,267.78,271.66,542300
11/01/2023 00:00:00,272.7,280.1,272.7,280.1,881800
12/01/2023 00:00:00,280.65,283.6,276.35,281.41,733900
13/01/2023 00:00:00,279.03,285.35,279.03,285.24,525000
17/01/2023 00:00:00,284.26,285.965,281.61,282.19,738900
18/01/2023 00:00:00,282.94,283.06,273.72,274.42,729600
19/01/2023 00:00:00,272.17,272.29,265.32,265.32,876600
20/01/2023 00:00:00,267.36,270.03,265.6,270,862100
23/01/2023 00:00:00,272.1,277.19,270.1,275.62,582100
24/01/2023 00:00:00,273.35,278.42,271.15,277.98,688300
25/01/2023 00:00:00,273.56,278.89,272.34,278.08,814200
26/01/2023 00:00:00,293.8,294.21,271.305,281.87,1505300
27/01/2023 00:00:00,282.75,287.28,276.11,286.46,1027700
30/01/2023 00:00:00,283.2,286.89,277.77,278.5,861600
31/01/2023 00:00:00,279.08,282.24,273,282.03,1059100
01/02/2023 00:00:00,279.49,286.18,277.06,282.87,831600
02/02/2023 00:00:00,284.87,292.995,282.81,291.16,999300
03/02/2023 00:00:00,288.03,293.34,287.61,289.96,534700
06/02/2023 00:00:00,286.62,288.58,284.6901,287.72,482900
07/02/2023 00:00:00,287.42,290.15,283.37,289.39,631900
08/02/2023 00:00:00,287.6,289.03,284.07,285.42,663400
09/02/2023 00:00:00,289,290.45,286.56,287.7,536200
10/02/2023 00:00:00,286.33,286.74,282.84,285.18,549500
13/02/2023 00:00:00,286.64,293.79,285.61,293.79,670300
14/02/2023 00:00:00,291.76,294.8,289.115,293.17,610600
15/02/2023 00:00:00,292.61,299.4,292.005,298.05,758800
16/02/2023 00:00:00,293.1,298,292.22,295.88,400400
17/02/2023 00:00:00,293.85,297.835,293.79,297.72,614800
21/02/2023 00:00:00,294.3,295.21,287.95,288.72,679900
22/02/2023 00:00:00,289.74,291.825,286.94,288.94,419800
23/02/2023 00:00:00,291.72,293.33,287.24,291.95,683600
24/02/2023 00:00:00,287.46,291.26,286.78,290.39,293800
