Date,Open,High,Low,Close,Pivot Points,VWAP,Volume ,Moving Average 20,Filename
10/01/2024 09:35:00,18.85,19.9575,18.31,19.615,19.615,,1280400,105635,TXT\aehr.txt
10/01/2024 09:40:00,19.615,20.17,19.17,19.69,19.69,19.32759,554400,132460,TXT\aehr.txt
10/01/2024 09:45:00,19.69,20.29,19.51,19.97,19.97,19.45753,585100,161135,TXT\aehr.txt
10/01/2024 09:50:00,19.9999,20.24,19.29,19.51,19.51,19.49376,329300,176070,TXT\aehr.txt
10/01/2024 09:55:00,19.5,19.6876,19.01,19.1,19.1,19.47783,285400,189135,TXT\aehr.txt
10/01/2024 10:00:00,19.1,19.39,18.87,19.0451,19.0451,19.45103,232500,198910,TXT\aehr.txt
10/01/2024 10:05:00,19.0451,19.31,18.9001,18.9793,18.9793,19.43356,152300,203925,TXT\aehr.txt
10/01/2024 10:10:00,18.9793,19.17,18.85,19.06,19.06,19.41715,139400,208495,TXT\aehr.txt
10/01/2024 10:15:00,19.0938,19.25,18.9349,18.94,18.94,19.40571,116000,212935,TXT\aehr.txt
10/01/2024 10:20:00,18.96,19.1132,18.91,18.96,18.96,19.39839,65200,214515,TXT\aehr.txt
10/01/2024 10:25:00,18.9799,19.45,18.9799,19.2607,19.2607,19.38981,144400,220775,TXT\aehr.txt
10/01/2024 10:30:00,19.2698,19.2698,18.98,19.24,19.24,19.38394,117500,225115,TXT\aehr.txt
10/01/2024 10:35:00,19.2292,19.31,19.08,19.1,19.1,19.38111,56400,226480,TXT\aehr.txt
10/01/2024 10:40:00,19.1,19.15,18.98,19.02,19.02,19.37519,76800,227515,TXT\aehr.txt
10/01/2024 10:45:00,19.02,19.2,19.0158,19.18,19.18,19.37256,40400,227890,TXT\aehr.txt
10/01/2024 10:50:00,19.1625,19.2388,19.1314,19.18,19.18,19.37014,52800,227960,TXT\aehr.txt
10/01/2024 10:55:00,19.18,19.23,18.98,19.01,19.01,19.36671,54300,228535,TXT\aehr.txt
10/01/2024 11:00:00,19.01,19.1204,19.0,19.12,19.12,19.36395,39300,226795,TXT\aehr.txt
10/01/2024 11:05:00,19.12,19.18,18.98,18.99,18.99,19.35948,66100,226320,TXT\aehr.txt
10/01/2024 11:10:00,18.99,19.09,18.75,18.7957,18.7957,19.34874,106600,224730,TXT\aehr.txt
10/01/2024 11:15:00,18.7957,18.7957,18.55,18.67,18.67,19.32485,172600,169340,TXT\aehr.txt
10/01/2024 11:20:00,18.6408,18.66,18.55,18.55,18.55,19.31198,84400,145840,TXT\aehr.txt
10/01/2024 11:25:00,18.5588,18.68,18.51,18.61,18.61,19.29559,110300,122100,TXT\aehr.txt
10/01/2024 11:30:00,18.63,18.6398,18.53,18.545,18.545,19.28846,49400,108105,TXT\aehr.txt
10/01/2024 11:35:00,18.545,18.57,18.41,18.5396,18.5396,19.25604,215200,104595,TXT\aehr.txt
10/01/2024 11:40:00,18.5396,18.63,18.45,18.59,18.59,19.24313,95800,97760,TXT\aehr.txt
10/01/2024 11:45:00,18.6,18.7099,18.5798,18.61,18.61,19.23282,88600,94575,TXT\aehr.txt
10/01/2024 11:50:00,18.6199,18.84,18.5801,18.7952,18.7952,19.22495,80900,91650,TXT\aehr.txt
10/01/2024 11:55:00,18.795,18.9,18.57,18.6999,18.6999,19.21719,87900,90245,TXT\aehr.txt
10/01/2024 12:00:00,18.6999,18.6999,18.5996,18.6,18.6,19.21249,45800,89275,TXT\aehr.txt
10/01/2024 12:05:00,18.6,18.75,18.55,18.64,18.64,19.20309,91400,86625,TXT\aehr.txt
10/01/2024 12:10:00,18.65,18.85,18.62,18.79,18.79,19.19875,51800,83340,TXT\aehr.txt
10/01/2024 12:15:00,18.78,18.87,18.65,18.74,18.74,19.19412,60400,83540,TXT\aehr.txt
10/01/2024 12:20:00,18.77,18.95,18.7663,18.89,18.89,19.19027,63800,82890,TXT\aehr.txt
10/01/2024 12:25:00,18.89,19.05,18.89,18.99,18.99,19.18655,93100,85525,TXT\aehr.txt
10/01/2024 12:30:00,18.99,19.0127,18.75,18.85,18.85,19.18437,45100,85140,TXT\aehr.txt
10/01/2024 12:35:00,18.85,18.8995,18.74,18.7706,18.7706,19.1823,33400,84095,TXT\aehr.txt
10/01/2024 12:40:00,18.792,18.88,18.76,18.8699,18.8699,19.18119,18700,83065,TXT\aehr.txt
10/01/2024 12:45:00,18.8699,18.958,18.85,18.9225,18.9225,19.18026,19800,80750,TXT\aehr.txt
10/01/2024 12:50:00,18.9225,19.15,18.9184,18.975,18.975,19.17831,62800,78560,TXT\aehr.txt
10/01/2024 12:55:00,18.975,18.9848,18.82,18.84,18.84,19.17621,46900,72275,TXT\aehr.txt
10/01/2024 13:00:00,18.84,18.8701,18.8,18.825,18.825,19.17367,45700,70340,TXT\aehr.txt
10/01/2024 13:05:00,18.825,18.8823,18.75,18.865,18.865,19.17039,59400,67795,TXT\aehr.txt
10/01/2024 13:10:00,18.8799,19.0,18.845,18.92,18.92,19.16749,70500,68850,TXT\aehr.txt
10/01/2024 13:15:00,18.93,18.949,18.8201,18.83,18.83,19.16618,28900,59535,TXT\aehr.txt
10/01/2024 13:20:00,18.83,18.83,18.5543,18.6354,18.6354,19.16,87200,59105,TXT\aehr.txt
