Date,Open,High,Low,Close,Volume 
30/01/2024 10:31:00,305.63,305.645,305.482,305.62,3000
30/01/2024 10:32:00,305.62,305.62,305.49,305.555,1000
30/01/2024 10:33:00,305.72,305.72,305.56,305.56,400
30/01/2024 10:34:00,305.56,305.56,305.56,305.56,100
30/01/2024 10:35:00,305.56,305.56,305.56,305.56,900
30/01/2024 10:36:00,305.56,305.8014,305.56,305.8014,900
30/01/2024 10:37:00,305.8014,305.84,305.67,305.78,2000
30/01/2024 10:38:00,305.78,305.785,305.66,305.72,3000
30/01/2024 10:39:00,305.72,305.7496,305.72,305.725,600
30/01/2024 10:40:00,305.715,305.715,305.71,305.71,1300
30/01/2024 10:41:00,305.71,305.74,305.58,305.58,1500
30/01/2024 10:42:00,305.58,305.59,305.49,305.555,1700
30/01/2024 10:43:00,305.555,305.91,305.555,305.9,2600
30/01/2024 10:44:00,305.895,306.185,305.895,306.185,4100
30/01/2024 10:45:00,306.185,306.185,305.94,306.13,1900
30/01/2024 10:46:00,306.13,306.18,306.13,306.18,400
30/01/2024 10:47:00,306.18,306.18,306.045,306.045,1800
30/01/2024 10:48:00,306.045,306.16,306.045,306.16,300
30/01/2024 10:49:00,306.16,306.16,306.16,306.16,100
30/01/2024 10:50:00,306.16,306.2684,306.16,306.2684,600
30/01/2024 10:51:00,306.2684,306.2684,306.1325,306.17,1200
30/01/2024 10:52:00,306.17,306.17,306.02,306.14,4100
30/01/2024 10:53:00,306.14,306.14,306.11,306.11,100
30/01/2024 10:54:00,306.11,306.24,306.11,306.24,1300
30/01/2024 10:55:00,306.24,306.24,305.915,306.06,2700
30/01/2024 10:56:00,306.21,306.21,306.03,306.115,1500
30/01/2024 10:57:00,306.115,306.34,306.0201,306.34,5300
30/01/2024 10:58:00,306.34,306.34,306.34,306.34,100
30/01/2024 10:59:00,306.34,306.5682,306.34,306.55,700
30/01/2024 11:00:00,306.55,306.63,306.5,306.63,2800
30/01/2024 11:01:00,306.63,307.06,306.63,306.8,1600
